uniq_id,sku,amount
b6c0b6bea69c722939585baeac73c13d,pp5006380337,0
93e5272c51d8cce02597e3ce67b7ad0a,pp5006380337,43
013e320f2f2ec0cf5b3ff5418d688528,pp5006380337,0
505e6633d81f2cb7400c0cfa0394c427,pp5006380337,0
d969a8542122e1331e304b09f81a83f6,pp5006380337,17
cf73bb2bd93bbd6e1bdf48d399992270,pp5006380337,38
8ffd0ef4fcaf1a82fb514aba5d20e05b,pp5006790247,11
4d9337e3c8f974d3c420cdc5c58b3fc3,pp5007090172,36
44f8f8f108c6856acf9630dd1d78516d,pp5007080134,85
8d1d057f5f808c10ce243c222ab0ef6e,pp5007080134,57
f3e02c48f16b56e8c1f126c8fe762812,pp5007080134,75
5abf9d28e9e0404369ece10807d99d0e,pp5006790242,64
82d8a9a627e55ba97a1051068c9823e7,pp5006790242,25
7b16da6eaeca0ae2d107e712cfe5141d,pp5006790242,53
dc414a69fee993fd20d74a979dfea23d,pp5006790242,30
3c291110238ee460390c7002e4622ade,pp5006790695,100
5d8646dbb6d4561dd5f9176f2632edc3,pp5006790695,26
ca61adb53a4b26f605f10fab385bea09,pp5006790695,38
72f8aa81a2364e6cd5bff45979aefc33,pp5007090174,96
8788fc9cc455895a1de9fb076bd3d606,pp5007090174,25
c5447761938ad6a34d76b86ba292892b,pp5007090174,26
8ffef8855eebe54189be7bac72ed85ef,pp5007090174,90
be7764fc14845ec35d5e1633835040fe,pp5006790780,5
0e0d413e95710119c51a0db8522a2482,pp5006790780,67
8149f96381ad38bc848c1c12b7ad3228,pp5007080135,71
ca3aed29b3601cfa80af58a05997dde4,pp5007080135,34
9c2bfcff2dff4ce8dd8699619c2b61ec,pp5007080135,82
e498aa2384360f0787701fe4ed07d8d7,pp5007080135,20
fbca0b12f075c2c299ab789b76384ec9,pp5007080135,1
0bd52529aabbb72259a9b22d38a0f4a6,pp5007080135,79
4cf14c20198ed2878bb4ac0519bded7a,pp5007080135,96
d18479624a12f51d651bb2492243b0c7,pp5006790251,50
4f6d3fcd5d7a7da811cca969e074db52,pp5006790251,91
40a2c1b7e4da323970d7568fbbbf1797,pp5006790251,82
8a6639a5bb4f164f41d4652d6ab8c70d,pp5006790251,61
9e6a99f8c18f0f17f7ec23931205245f,pp5006790251,7
c5b7ae1349832bdd38a0de291472821f,pp5006790251,2
36f3fd5978ed6e8a87908a942bab3777,pp5006790548,50
fe031e524ec46b8654c581b11d9bffc1,pp5007090115,12
0e4defab33c9938ea1d39db83ace7ed3,pp5007010088,36
30fb0695f579914d85ba7ce2a3ed3c19,pp5006334416,78
8056738ccd769ed459febd2fafe5dc3b,pp5006790562,96
84792abb02bf781ac8171d8360f1e19c,pp5006292203,88
6c2c127f31a8041031cb719d58bebf22,pp5007220049,38
ef74082305ac60389782f5884b3611af,pp5007220049,100
bbc47b4cdcb325ec3a8ec87bb9438293,pp5007220049,22
c3d28e645f687d737fa9b3d17764b705,pp5007220049,83
835c3bbfa421381f02f73db30820d34f,pp5007220049,34
acd0853b5f9e0b169f0466ee80d4e073,pp5007220049,2
666d93e3a7a161a22ed64ef1f582bf0d,pp5007220049,73
716e79c65da341c8cc2303d8fe8b7c6f,pp5007220049,37
f9c292761fb23c61cd18a41bc80a1177,pp5007220049,13
eb3bf2535cbaea960691a81ca0653a98,pp5006291887,9
0c2c7e597d721d751f45336e02e7d94d,pp5006311052,60
3a7806386f73e18a40c55aaf4c0f5020,pp5006311052,31
29fcae8701318a3be17491cd49d6c7d5,pp5006311052,3
e3b54a180e329d2f655e39e7a979afa6,pp5006311040,89
8d1c34fc14500c7113c9b8c82f949814,pp5006311040,78
fcad39742256bf1e3bbb71d347155f55,pp5007320166,4
bd9e286340e9edf23465b7337602ff75,pp5007320166,37
0d5e3ea4829b4b3020a7e207a16b86a3,pp5007320166,12
db4517bd1b163f8d3b74a9ed31f1e729,pp5007320166,20
66196669114799e6c14af90e3ad90383,pp5007320166,83
5e875ccc177cd67dfbf4ab67ce885423,pp5007320166,48
703ef6354e20ac474abcbc2bae0992e0,pp5007320166,87
170062a9735ce152d16674303ee1adc5,pp5007320166,30
962e6fd084c0777f04e1a1136944bc65,pp5007320166,55
15e0ab0273b9ab3b68af05c07d78e90f,pp5007320166,77
1d448fa0665ae1b17590810eb087fb1b,pp5006334382,8
4703811451655ba1e298953ac2e1a098,pp5006334382,84
ab377f6655909713cf6c516a77a4473a,pp5006081664,99
e6d507d37586b24d789006129520d78e,pp5007150083,82
bb95c76db841e59342547712ddf8f5f9,pp5007150083,51
73897029b6b934b725bc2ea7febf4209,pp5007150083,20
b7800752e45cdfe72cdb8e3629e9e6fd,1796869,39
1da4f72882e8b91189342aa912ed45a3,pp5005740108,31
d1c28131b81aee7e2daf76ffe3cf6a73,pp5006830284,72
d1cd9e562123c8756d26e752ce4b8713,pp5006830284,47
162623a600fb4859e6877208ea81a441,pp5006830279,6
2d5c82250fb86d9c60f79b0074a7db8f,pp5005850775,79
8c073afaee23ee8233664dd46d00d315,pp5005850775,47
e7e6f68fb989173165db8db59f05eabb,pp5005850777,8
703397740f5641042c1ef9e958387058,pp5005850777,58
dbd13ca0ff2556e933e0e082ff8e22b4,pp5005850777,60
eb94955699d566447cc73a5eef833e97,pp5005710075,4
37305a66af036c79914b87019e76895a,pp5005710076,6
4efca310d907bbac13d3562a8a4f6dfb,pp5005710039,91
a5bbec3e96bebc1a3f7664cb9f3c5e9e,pp5005790447,75
4020078ec2d23a606bbaf015d4ba95b5,pp5005710134,50
2eb41c89edb597299c9aab1728480b58,pp5005791625,7
9efc48aa03dbf453b1ab8bebf9703f2b,pp5005791625,28
7743f9a716e7fc9d9b587c6bb36c0c6f,pp5005791625,21
76dd97af00d0f7a2876771e9312b6db6,pp5005710040,97
bedfb79e102d86559353d42ab8733c01,pp5005710040,75
228e5c25e0eda6693ac8bf220af0ec16,pp5006830157,46
25c9659a5b2f162ce345da75c034bcce,pp5006830157,88
0bda51a25371200b67976de0d32bc558,pp5006830157,16
8ef63d37b105184c431aeb7a5abdd61b,pp5006830157,30
89d2894a56e35275f217a4499072a31a,pp5006830157,2
613a9e7635c7fa1bac23dd91f07e103f,pp5005740108,30
9ad448cd4c44412a6998dcd168aec826,pp5005740108,55
b5906363d3e89e99ee88172b0cfe182d,pp5005900266,9
062ab2af65b02f59f96b79f9cd359f36,pp5005900266,18
ac9d98ab87378d3b1a25f694dcd03107,pp5005900266,64
d1139bcf9e21090f71d259b597a0da2b,pp5005900266,17
e02d613c45a64599b9eb958af21943da,pp5006830283,61
7ca74b9d3ed97595a8f6451737094529,pp5006830278,42
1c702121fc0fcdb4a1fff5c533c1dcf1,pp5006830278,20
